Instituição;Código;TCB;TD;TC;SR;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1.000.080.738;b1;C;1;S1;BRASILIA;DF;03/2026;1.153.791.559;1.630.430;9.474.526;23.542.432;41.856.266;21.288.094;15.492.441;62;113.284.251;455.479;1.594.691;3.412.284;4.028.631;1.095.300;451.243;0;11.037.628;5.299;11.211;26.904;37.166;7.556;54;0;88.190;6.398.147;26.479.260;67.802.694;158.721.459;131.033.180;382.740.031;168.925.203;942.099.974;5.069.085;12.436.344;4.591.079;252.982;88.188;13.142;0;22.450.821;5.928.607;5.511.795;8.613.730;13.308.792;8.769.426;6.610.236;0;48.742.586;2.671.668;4.416.032;2.911.475;2.606.793;1.658.176;1.810.187;13.779;16.088.109;0
BB - PRUDENCIAL;1.000.080.329;b1;C;1;S1;BRASILIA;DF;03/2026;734.209.609;686.065;8.841.754;25.100.801;52.764.019;35.314.986;29.025.949;226.131;151.959.706;2.714.846;4.733.553;13.608.520;19.769.970;9.978.304;4.421.549;1.566.532;56.793.274;118.272;1.321.691;3.587.391;5.811.197;1.232.009;7.793;120.660;12.199.013;334.460;531.325;1.424.996;3.824.868;3.815.435;19.656.984;16.322.396;45.910.464;6.845.853;48.871.858;15.811.849;274.319;4;0;1.196.013;72.999.897;19.253.455;34.553.715;92.127.620;109.235.018;64.565.197;46.247.892;516.031;366.498.926;2.766.211;1.841.281;4.988.248;5.389.564;3.903.757;3.896.152;617.773;23.402.986;4.445.344
ITAU - PRUDENCIAL;1.000.080.099;b1;C;2;S1;SAO PAULO;SP;03/2026;588.114.492;579.185;8.066.108;20.401.778;31.455.960;12.689.798;5.374.068;29.603;78.596.500;1.742.702;5.655.152;10.847.249;10.290.855;2.358.105;323.913;88.803;31.306.779;746.870;4.823.633;11.908.058;15.996.033;2.399.355;10.016;27.961;35.911.926;119.912;4.939.877;13.736.993;30.657.835;23.422.247;54.816.834;18.429.606;146.123.302;10.392.541;93.336.831;45.142.541;1.939.598;15.802;0;281.148;151.108.461;20.140;2.334.047;2.771.593;1.901.118;410.887;49.770;0;7.487.554;4.713.253;14.338.722;8.705.276;8.398.906;2.271.883;1.336.443;950.550;40.715.034;96.864.935
BRADESCO - PRUDENCIAL;1.000.080.075;b1;C;2;S1;OSASCO;SP;03/2026;457.752.104;463.225;8.247.376;22.981.180;40.810.143;20.878.196;13.629.535;6.343;107.015.999;1.700.633;9.692.855;16.776.062;16.876.473;3.371.307;823.388;3.984;49.244.703;1.283.326;5.897.344;14.661.312;20.582.818;3.813.969;13.963;30;46.252.763;182.759;3.660.950;9.859.991;22.247.467;17.246.398;42.742.404;12.344.393;108.284.361;8.578.918;48.209.891;19.712.611;1.853.170;248.920;81.815;0;78.685.325;1.760.902;5.095.779;11.684.789;12.769.829;3.845.324;1.282.527;74;36.439.224;2.465.313;7.478.380;4.052.644;5.553.366;1.798.500;575.616;35.448;21.959.267;9.870.463
SANTANDER - PRUDENCIAL;1.000.080.185;b1;C;3;S1;SAO PAULO;SP;03/2026;329.814.380;2.777.456;5.291.686;13.339.337;21.765.572;9.775.617;5.028.319;3.051;57.981.040;652.528;1.907.473;3.959.328;5.263.596;1.985.712;1.140.794;28.860;14.938.291;1.609.519;10.843.803;27.251.017;36.986.239;5.658.627;26.938;6.287;82.382.430;110.664;2.331.171;6.559.174;14.655.575;11.275.222;26.823.807;7.143.543;68.899.156;3.371.797;38.008.757;18.700.123;2.176.837;654.252;508.685;103;63.420.553;636.242;1.379.089;3.340.600;3.047.715;837.322;191.707;2.998;9.435.673;2.846.905;8.473.063;5.674.318;5.632.313;2.924.142;2.910.126;119.801;28.580.667;4.176.569
NU PAGAMENTOS - PRUDENCIAL;1.000.084.693;n1;C;3;S2;SAO PAULO;SP;03/2026;183.416.745;30.273;448.068;1.140.744;1.864.142;954.381;555.945;0;4.993.553;7.603.552;18.208.620;22.712.631;10.837.596;1.801.694;620.189;29;61.784.312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.773.863;71.939.381;27.820.582;428.067;138;0;0;115.962.031;0;0;0;0;0;0;0;0;153.270;121.712;227.994;173.725;147;1;0;676.849;0
BANCO C6 - PRUDENCIAL;1.000.084.844;b1;C;2;S3;SAO PAULO;SP;03/2026;82.686.852;435.869;4.364.076;10.263.260;14.402.534;7.635.962;3.540.673;174.927;40.817.301;96.793;248.686;590.928;627.660;108.659;81.669;1.660;1.756.054;382.355;3.128.630;8.088.043;12.522.983;2.317.868;4.357;0;26.444.235;0;0;0;0;0;0;0;0;975.544;7.597.081;3.356.957;213.925;38.679;3.693;0;12.185.878;0;0;0;0;0;0;0;0;54.626;80.622;178.866;392.658;218.088;372.913;184.928;1.482.701;683
BTG PACTUAL - PRUDENCIAL;1.000.080.336;b1;C;2;S1;RIO DE JANEIRO;RJ;03/2026;78.082.893;239.041;2.366.943;5.781.053;7.688.527;2.837.414;3.544.916;0;22.457.894;537.900;1.126.657;2.183.309;2.068.894;432.194;210.787;0;6.559.742;2.995.971;5.474.402;12.707.399;15.397.091;2.038.365;2.092;0;38.615.320;6.985;4.816;13.227;31.025;25.736;71.530;31.349;184.669;1.036.955;1.870.270;3.708.218;651.031;460.011;280.331;0;8.006.816;147;9.776;48.978;115.722;96.556;5.328;0;276.507;132.839;328.026;255.217;321.837;81.046;82.063;18.047;1.219.075;762.870
VOTORANTIM - PRUDENCIAL;1.000.080.484;b1;C;2;S2;SAO PAULO;SP;03/2026;70.191.077;50.276;51.618;107.989;72.483;1.690;4;0;284.060;342.111;1.248.973;2.955.578;3.596.933;549.422;12.214;0;8.705.230;2.115.953;7.159.411;17.629.415;24.532.621;4.437.856;23.731;0;55.898.987;0;0;0;0;0;0;0;0;1.228.581;2.571.191;1.385.115;97.365;99;0;0;5.282.351;0;0;0;0;0;0;0;0;2.302;10.990;6.842;315;0;0;0;20.449;0
BANRISUL - PRUDENCIAL;1.000.080.154;b1;C;1;S2;PORTO ALEGRE;RS;03/2026;47.762.942;194.206;1.243.320;3.490.851;7.210.595;4.268.999;2.698.873;1.556;19.108.400;199.451;614.680;1.017.263;860.381;540.091;225.890;1.636;3.459.392;266;568;1.706;2.566;672;1;0;5.780;5.407;105.919;233.044;599.333;563.339;2.272.499;1.849.893;5.629.432;430.573;1.599.201;672.687;53.192;0;0;0;2.755.653;244.092;2.145.934;3.642.482;4.668.288;1.287.254;796.612;0;12.784.663;355.023;1.400.183;644.904;771.443;452.896;389.858;5.314;4.019.622;0
BRB - PRUDENCIAL;1.000.080.288;b1;C;1;S3;BRASILIA;DF;03/2026;43.468.940;151.159;922.754;2.593.369;5.271.875;3.263.428;2.370.097;1;14.572.683;130.003;609.216;1.325.637;1.857.132;492.264;166.220;0;4.580.472;692;4.852;10.954;16.997;5.322;354;0;39.170;6.551;193.424;392.780;1.027.882;994.582;4.374.619;4.360.264;11.350.102;4.149.840;1.917.204;1.646.812;1.389.919;387.442;83.043;31;9.574.290;161.155;191.843;189.879;228.834;183.532;149.257;0;1.104.500;48.333;148.078;310.185;666.356;553.321;487.636;33.812;2.247.721;0
